country,points,price,province,region_1,taster_name,variety,is_red,is_white,is_rose,is_sparkling,is_dry,is_sweet,year,is_blend
1.0,90,64.0,9.0,68.0,12.0,30.0,1,0,0,0,0,0,2012.0,0
13.0,90,17.0,36.0,,15.0,34.0,1,0,0,0,0,0,2012.0,0
7.0,93,40.0,17.0,69.0,8.0,40.0,1,0,1,0,0,0,2010.0,0
5.0,93,67.0,8.0,70.0,3.0,8.0,0,0,0,0,1,0,2006.0,0
1.0,88,22.0,15.0,14.0,11.0,6.0,0,0,1,0,0,0,2012.0,0
5.0,93,29.0,37.0,71.0,16.0,41.0,0,0,0,0,0,1,2012.0,0
7.0,89,22.0,16.0,72.0,8.0,14.0,0,1,0,0,1,0,2016.0,0
1.0,87,45.0,9.0,64.0,,17.0,0,0,0,0,0,0,2011.0,0
7.0,89,32.0,17.0,73.0,8.0,9.0,0,0,0,0,0,0,2012.0,1
4.0,91,35.0,38.0,,5.0,6.0,1,0,0,0,1,0,2012.0,0
3.0,87,,39.0,,3.0,1.0,1,0,0,0,0,0,2013.0,0
7.0,87,,40.0,74.0,,42.0,0,0,0,0,0,0,2006.0,0
1.0,88,48.0,9.0,75.0,,43.0,0,0,0,0,1,0,2006.0,0
5.0,85,,8.0,76.0,3.0,8.0,0,1,0,0,0,0,2006.0,0
1.0,93,100.0,9.0,34.0,9.0,6.0,1,0,0,0,0,0,2014.0,0
7.0,86,,10.0,67.0,8.0,10.0,0,0,0,0,0,0,2011.0,0
5.0,87,13.0,41.0,77.0,3.0,44.0,0,1,0,0,0,0,2014.0,1
5.0,91,55.0,28.0,45.0,3.0,33.0,0,0,0,0,1,0,,1
2.0,85,18.0,42.0,,,1.0,0,0,0,0,0,0,2000.0,0
1.0,90,40.0,9.0,78.0,9.0,1.0,0,0,0,0,1,0,2013.0,0
1.0,87,13.0,9.0,79.0,7.0,26.0,0,0,0,0,0,0,2014.0,0
8.0,87,9.0,19.0,80.0,6.0,45.0,0,1,0,0,0,0,2012.0,0
1.0,91,44.0,9.0,64.0,12.0,9.0,1,0,0,0,0,0,2015.0,1
4.0,88,22.0,5.0,,5.0,8.0,0,0,0,0,0,1,2010.0,0
14.0,91,45.0,43.0,,3.0,46.0,1,0,0,0,0,0,2005.0,0
7.0,85,,16.0,81.0,,47.0,0,0,0,0,1,0,2008.0,0
5.0,87,15.0,6.0,82.0,3.0,11.0,1,0,0,0,0,0,2015.0,0
1.0,90,28.0,44.0,,1.0,1.0,0,0,0,0,0,0,2013.0,0
1.0,85,28.0,9.0,32.0,,36.0,0,0,0,0,0,1,2009.0,1
7.0,89,16.0,31.0,83.0,8.0,37.0,0,1,0,0,0,0,2015.0,0
7.0,84,18.0,31.0,84.0,,9.0,1,0,0,0,0,0,2006.0,1
1.0,88,35.0,9.0,85.0,12.0,17.0,0,0,0,0,0,0,2012.0,0
1.0,91,35.0,15.0,36.0,11.0,11.0,0,0,1,0,0,0,2010.0,0
1.0,83,32.0,9.0,55.0,12.0,9.0,0,0,0,0,0,0,2012.0,1
1.0,89,95.0,9.0,55.0,12.0,30.0,1,0,0,0,0,0,2012.0,0
1.0,93,50.0,1.0,1.0,1.0,12.0,1,0,0,0,0,0,2013.0,1
1.0,85,23.0,9.0,64.0,12.0,30.0,1,0,0,0,0,0,2012.0,0
1.0,91,34.0,9.0,50.0,,17.0,1,0,0,0,0,0,1999.0,0
1.0,91,48.0,1.0,86.0,11.0,12.0,1,0,0,0,0,0,2011.0,1
1.0,90,45.0,9.0,78.0,,8.0,0,0,0,0,1,1,2010.0,0
1.0,88,12.0,1.0,1.0,11.0,48.0,0,1,0,0,0,0,2011.0,0
5.0,86,26.0,11.0,87.0,3.0,12.0,0,0,0,0,0,0,2011.0,1
1.0,91,55.0,9.0,88.0,9.0,1.0,0,0,0,0,0,0,2013.0,0
6.0,91,20.0,7.0,4.0,6.0,25.0,0,0,0,0,0,0,2007.0,0
1.0,91,34.0,9.0,34.0,9.0,6.0,0,0,0,0,0,0,2014.0,0
1.0,88,28.0,9.0,20.0,9.0,22.0,0,1,0,0,0,0,2015.0,1
1.0,86,8.0,9.0,38.0,,36.0,0,1,0,0,0,0,2012.0,1
10.0,90,19.0,26.0,,6.0,9.0,1,0,0,0,0,0,2013.0,1
5.0,88,23.0,8.0,70.0,3.0,8.0,0,0,0,0,0,0,2014.0,0
4.0,92,52.0,45.0,,5.0,8.0,0,0,0,0,0,0,2013.0,0
1.0,86,16.0,9.0,55.0,,49.0,0,0,0,0,0,1,2010.0,0
1.0,88,14.0,9.0,30.0,,26.0,0,1,0,0,1,0,2009.0,0
10.0,87,15.0,35.0,,6.0,8.0,0,0,0,0,0,0,2013.0,0
1.0,92,20.0,9.0,89.0,,24.0,0,1,0,0,1,0,2009.0,0
1.0,90,14.0,15.0,90.0,11.0,48.0,0,1,0,0,0,0,2014.0,0
