country,points,price,province,region_1,taster_name,variety,is_red,is_white,is_rose,is_sparkling,is_dry,is_sweet,year,is_blend
US,91,50.0,California,Napa Valley,Virginie Boone,Cabernet Sauvignon,0,0,0,0,0,0,2013.0,0
Italy,97,90.0,Northeastern Italy,Colli Orientali del Friuli,,Picolit,0,1,0,0,0,0,2007.0,0
France,92,,Burgundy,Chassagne-Montrachet,Roger Voss,Chardonnay,0,0,0,0,0,0,2013.0,0
US,90,25.0,California,Sonoma Coast,Virginie Boone,Chardonnay,0,0,0,0,0,0,2013.0,0
US,89,26.0,California,Livermore Valley,Virginie Boone,Port,0,0,0,0,0,0,2010.0,0
US,88,75.0,California,Santa Maria Valley,Matt Kettmann,Dolcetto,1,0,0,0,0,1,2014.0,0
US,88,48.0,California,Santa Lucia Highlands,Matt Kettmann,Chardonnay,0,0,0,0,0,0,2014.0,0
Spain,82,18.0,Northern Spain,Toro,Michael Schachner,Tinta de Toro,0,0,0,0,0,0,2007.0,0
France,86,14.0,Loire Valley,Touraine,Roger Voss,Gamay,0,0,0,0,0,0,2011.0,0
France,86,15.0,Bordeaux,Médoc,Roger Voss,Bordeaux-style Red Blend,1,0,0,0,0,0,2010.0,1
US,84,34.0,Washington,Horse Heaven Hills,Sean P. Sullivan,Cabernet Sauvignon,1,0,0,0,0,0,2013.0,0
Italy,92,210.0,Piedmont,Barbaresco,,Nebbiolo,0,0,0,0,0,0,2005.0,0
France,87,16.0,Bordeaux,Blaye Côtes de Bordeaux,Roger Voss,Bordeaux-style Red Blend,0,0,0,0,0,0,2012.0,1
Argentina,80,8.0,Mendoza Province,Mendoza,Michael Schachner,Merlot,0,0,0,0,0,1,2007.0,0
US,93,60.0,Oregon,Ribbon Ridge,Paul Gregutt,Pinot Noir,1,0,0,0,0,0,2010.0,0
Austria,92,20.0,Wagram,,Anne Krebiehl MW,Grüner Veltliner,0,0,0,0,0,0,2016.0,0
US,86,9.0,New York,New York,Anna Lee C. Iijima,Sparkling Blend,0,0,0,0,0,1,,1
Spain,92,44.0,Catalonia,Priorat,Michael Schachner,Red Blend,1,0,0,0,0,0,2009.0,1
Argentina,84,17.0,Other,Zonda Valley,Michael Schachner,Syrah,0,0,0,0,0,0,2007.0,0
Italy,93,64.0,Piedmont,Barolo,Kerin O’Keefe,Nebbiolo,1,0,0,0,0,0,2011.0,0
Australia,91,70.0,South Australia,Clare Valley,Joe Czerwinski,Shiraz,0,0,0,0,0,0,2006.0,0
France,91,32.0,Burgundy,Chablis,Roger Voss,Chardonnay,0,0,0,0,0,0,2014.0,0
US,86,12.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Cabernet Sauvignon,0,0,0,0,0,0,2012.0,0
Spain,85,30.0,Catalonia,Cava,Michael Schachner,Sparkling Blend,0,1,0,0,0,0,,1
Argentina,92,50.0,Mendoza Province,Mendoza,Michael Schachner,Malbec,1,0,0,0,0,0,2007.0,0
Australia,86,15.0,South Australia,McLaren Vale,Joe Czerwinski,Merlot,1,0,0,0,0,0,2004.0,0
US,84,19.0,Oregon,Oregon,Paul Gregutt,Pinot Noir,0,0,0,0,0,0,2013.0,0
France,92,,Burgundy,Chambolle-Musigny,Roger Voss,Pinot Noir,0,0,0,0,0,0,2010.0,0
US,94,36.0,California,Sta. Rita Hills,Matt Kettmann,Pinot Noir,0,0,0,0,1,0,2014.0,0
US,83,24.0,California,Napa Valley,,Sauvignon Blanc,0,1,0,0,0,0,2009.0,0
Portugal,84,10.0,Tejo,,Roger Voss,Portuguese White,0,0,0,0,0,0,2015.0,0
Italy,91,80.0,Sicily & Sardinia,Sicilia,,Red Blend,0,0,0,0,0,0,2005.0,1
Greece,88,20.0,Macedonia,,Susan Kostrzewa,Red Blend,1,0,0,0,1,0,2009.0,1
France,89,66.0,Burgundy,Meursault,Roger Voss,Chardonnay,0,0,0,0,0,0,2014.0,0
France,87,55.0,Champagne,Champagne,Roger Voss,Champagne Blend,0,0,0,0,0,0,,1
Chile,87,22.0,Loncomilla Valley,,Michael Schachner,Carignan,1,0,0,0,1,0,2007.0,0
Austria,88,13.0,Kamptal,,Roger Voss,Grüner Veltliner,0,0,0,0,0,0,2009.0,0
Portugal,89,13.0,Alentejano,,Roger Voss,Portuguese Red,1,0,0,0,0,0,2011.0,0
US,87,30.0,Oregon,Umpqua Valley,Paul Gregutt,Tannat,0,0,0,0,0,0,2013.0,0
US,85,22.0,California,Sierra Foothills,Virginie Boone,Petite Sirah,0,0,0,0,0,0,2006.0,0
France,87,12.0,Loire Valley,Muscadet Côtes de Grandlieu,Roger Voss,Melon,0,0,0,0,0,0,2016.0,0
Israel,87,65.0,Judean Hills,,Lauren Buzzeo,Cabernet Blend,1,0,0,0,0,0,2004.0,1
US,90,35.0,California,Sierra Foothills,Virginie Boone,Syrah,0,0,0,0,0,0,2009.0,0
France,86,15.0,Bordeaux,Blaye Côtes de Bordeaux,Roger Voss,Bordeaux-style Red Blend,0,0,0,0,0,1,2010.0,1
France,88,30.0,Burgundy,Viré-Clessé,Roger Voss,Chardonnay,0,1,0,0,0,0,2014.0,0
Italy,95,,Tuscany,Brunello di Montalcino,Roger Voss,Sangiovese,0,0,0,0,0,1,1997.0,0
US,86,25.0,New York,North Fork of Long Island,Anna Lee C. Iijima,Rosé,1,0,1,0,0,0,2016.0,0
Portugal,91,19.0,Alentejano,,Roger Voss,Portuguese Red,0,0,0,0,0,0,2011.0,0
US,85,32.0,Oregon,Chehalem Mountains,Paul Gregutt,Chardonnay,0,0,0,0,0,0,2012.0,0
France,90,17.0,Alsace,Crémant d'Alsace,Anne Krebiehl MW,Sparkling Blend,0,0,0,0,1,0,,1
Chile,86,18.0,Curicó Valley,,Michael Schachner,Merlot,0,0,0,0,0,0,2007.0,0
US,89,35.0,California,Marin County,Jim Gordon,Red Blend,1,0,0,0,1,0,2011.0,1
Australia,91,16.0,South Australia,Limestone Coast,,Shiraz,1,0,0,0,0,0,1998.0,0
Austria,88,,Kremstal,,Roger Voss,Grüner Veltliner,0,0,0,0,0,0,2012.0,0
Portugal,87,15.0,Tejo,,Roger Voss,Portuguese Red,1,0,0,0,0,0,2012.0,0
France,93,140.0,Southwest France,Cahors,Roger Voss,Malbec,0,0,0,0,1,0,2010.0,0
Italy,90,,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Sangiovese,1,0,0,0,0,0,2009.0,0
Italy,87,35.0,Tuscany,Toscana,Kerin O’Keefe,Red Blend,1,0,0,0,0,0,2014.0,1
US,92,100.0,Oregon,Dundee Hills,Paul Gregutt,Pinot Noir,1,0,0,0,0,0,2008.0,0
